input,label
Calculate shipping cost for Chair with dimensions 20x20x30 cm and weight 5 kg.,Shipping cost is $50
Calculate shipping cost for Table with dimensions 60x40x30 cm and weight 15 kg.,Shipping cost is $50
Calculate shipping cost for BILLY Bookcase with dimensions 80x28x202 cm and weight 25 kg.,Shipping cost is $50
Calculate shipping cost for MALM Bed Frame with dimensions 209x177x38 cm and weight 32 kg.,Shipping cost is $50
Calculate shipping cost for LACK Coffee Table with dimensions 118x78x45 cm and weight 12 kg.,Shipping cost is $50
Calculate shipping cost for POÄNG Armchair with dimensions 68x82x100 cm and weight 10 kg.,Shipping cost is $50
Calculate shipping cost for HEMNES TV Bench with dimensions 149x47x57 cm and weight 23 kg.,Shipping cost is $50
Calculate shipping cost for KALLAX Shelf Unit with dimensions 147x39x147 cm and weight 27 kg.,Shipping cost is $50
Calculate shipping cost for MICKE Desk with dimensions 105x50x75 cm and weight 17 kg.,Shipping cost is $50
Calculate shipping cost for PAX Wardrobe Frame with dimensions 150x58x236 cm and weight 75 kg.,Shipping cost is $50
Calculate shipping cost for BRIMNES Chest of Drawers with dimensions 78x41x123 cm and weight 28 kg.,Shipping cost is $50
Calculate shipping cost for FJÄLLBO Coffee Table with dimensions 91x52x46 cm and weight 13 kg.,Shipping cost is $50
Calculate shipping cost for TROTTEN Desk with dimensions 120x70x75 cm and weight 24 kg.,Shipping cost is $50
Calculate shipping cost for STUVA Loft Bed with dimensions 207x99x193 cm and weight 55 kg.,Shipping cost is $50
Calculate shipping cost for NORDLI Bed Frame with dimensions 205x144x38 cm and weight 36 kg.,Shipping cost is $50
Calculate shipping cost for ALEX Drawer Unit with dimensions 67x48x132 cm and weight 22 kg.,Shipping cost is $50
Calculate shipping cost for BESTÅ TV Unit with dimensions 120x40x74 cm and weight 26 kg.,Shipping cost is $50
Calculate shipping cost for LIATORP Coffee Table with dimensions 93x93x51 cm and weight 18 kg.,Shipping cost is $50
Calculate shipping cost for TYSSEDAL Wardrobe with dimensions 88x58x208 cm and weight 80 kg.,Shipping cost is $50
Calculate shipping cost for KLIPPAN Sofa with dimensions 180x88x66 cm and weight 30 kg.,Shipping cost is $50
Calculate shipping cost for GRÖNLID Sectional Sofa with dimensions 320x98x83 cm and weight 80 kg.,Shipping cost is $50
Calculate shipping cost for SUNDVIK Children's Bed with dimensions 163x77x66 cm and weight 20 kg.,Shipping cost is $50
